
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2022-08-03,UK103,"Mumbai / Chhatrapati Shivaji (BOM/VABB)","Singapore / Changi (SIN/WSSS)",00:55:00,09:10:00,05:15:00,"Vistara (UK/VTI)","Airbus A321-200 (A321)",VT-TVE,36A,1,1,1,,375,2672,2079,2076
2022-12-21,3K245,"Singapore / Changi (SIN/WSSS)","Denpasar Bali / Ngurah Rai (DPS/WADD)",15:35:00,18:30:00,02:55:00,"Jetstar Asia Airways (3K/JSA)","Airbus A320-200 (A320)",9V-JSO,7C,2,1,1,,2672,3582,1171,2059
2022-12-25,3K244,"Denpasar Bali / Ngurah Rai (DPS/WADD)","Singapore / Changi (SIN/WSSS)",10:45:00,13:25:00,02:40:00,"Jetstar Asia Airways (3K/JSA)","Airbus A320-200 (A320)",9V-JSR,7A,1,1,1,,3582,2672,1171,2059
2022-05-08,SQ424,"Singapore / Changi (SIN/WSSS)","Mumbai / Chhatrapati Shivaji (BOM/VABB)",18:45:00,22:10:00,06:25:00,"Singapore Airlines (SQ/SIA)","Airbus A380-800 (A388)",9V-SKM,54K,1,1,1,,2672,375,703,39
2023-04-30,UK112,"Singapore / Changi (SIN/WSSS)","Pune / Lohegaon (PNQ/VAPO)",11:55:00,15:10:00,06:15:00,"Vistara (UK/VTI)","Airbus A321neo (A21N)",VT-TVC,30A,1,1,1,,2672,2367,2079,2128
2023-05-09,QP1383,"Pune / Lohegaon (PNQ/VAPO)","Bhubaneswar / Bhubaneswar (BBI/VEBS)",11:25:00,13:45:00,02:20:00,"Akasa Air (QP/AKJ)","Boeing 737 MAX 8 (B38M)",VT-YAH,31E,2,1,1,"First flight to Bhubaneswar directly from Pune by Akasa.",2367,226,3015,2123
2023-05-10,I5319,"Bhubaneswar / Bhubaneswar (BBI/VEBS)","Pune / Lohegaon (PNQ/VAPO)",14:15:00,16:15:00,02:00:00,"AirAsia India (I5/IAD)","Airbus A320 (A320)",VT-IMP,10D,3,1,1,,226,2367,1735,27
2023-05-14,UK111,"Pune / Lohegaon (PNQ/VAPO)","Singapore / Changi (SIN/WSSS)",02:10:00,10:40:00,05:30:00,"Vistara (UK/VTI)","Airbus A321neo (A21N)",VT-TVA,27A,1,1,2,,2367,2672,2079,2128
2023-08-20,UK112,"Singapore / Changi (SIN/WSSS)","Pune / Lohegaon (PNQ/VAPO)",11:55:00,15:10:00,06:15:00,"Vistara (UK/VTI)","Airbus A321neo (A21N)",VT-TVA,31A,1,1,1,,2672,2367,2079,2128
2023-12-17,UK110,"Singapore / Changi (SIN/WSSS)","Pune / Lohegaon (PNQ/VAPO)",11:40:00,15:10:00,06:30:00,"Vistara (UK/VTI)","Airbus A321neo (A21N)",VT-TVD,33A,1,1,1,,2672,2367,2079,2128
2023-12-20,AI854,"Pune / Lohegaon (PNQ/VAPO)","Delhi / Indira Gandhi (DEL/VIDP)",21:55:00,00:05:00,02:10:00,"Air India (AI/AIC)","Airbus A321 (A321)",VT-PPV,23A,1,1,1,,2367,689,43,28
2023-12-21,AI827,"Delhi / Indira Gandhi (DEL/VIDP)","Srinagar / Srinagar (SXR/VISR)",07:35:00,09:05:00,01:30:00,"Air India (AI/AIC)","Airbus A320neo (A20N)",VT-RTF,25D,3,1,1,,689,2831,43,2127
2023-12-26,AI826,"Srinagar / Srinagar (SXR/VISR)","Delhi / Indira Gandhi (DEL/VIDP)",12:20:00,14:05:00,01:45:00,"Air India (AI/AIC)","Airbus A321neo (A21N)",VT-RTB,17A,1,1,1,"EXTREMELY DELAYED due to Delhi fog.",2831,689,43,2128
2023-12-26,AI853,"Delhi / Indira Gandhi (DEL/VIDP)","Pune / Lohegaon (PNQ/VAPO)",19:00:00,21:15:00,02:15:00,"Air India (AI/AIC)","Airbus A321 (A321)",VT-PPU,21F,1,1,1,"Transferred due to delay. Initially supposed to have been on AI849",689,2367,43,28
2024-01-10,QP1383,"Pune / Lohegaon (PNQ/VAPO)","Bhubaneswar / Bhubaneswar (BBI/VEBS)",12:55:00,15:10:00,02:15:00,"Starlight Airlines (QP/SLT)","Boeing 737 MAX 8 (B38M)",VT-YAK,27B,2,1,1,,2367,226,1933,2123
2024-01-20,6E1479,"Bhubaneswar / Bhubaneswar (BBI/VEBS)","Singapore / Changi (SIN/WSSS)",21:30:00,04:10:00,03:40:00,"IndiGo (6E/IGO)","Airbus A320neo (A20N)",VT-IPI,27A,1,1,1,"Going back to Singapore after term break (1 month)",226,2672,1122,2127
2024-05-13,SQ24,"Singapore / Changi (SIN/WSSS)","New York / John F Kennedy (JFK/KJFK)",12:10:00,18:50:00,18:40:00,"Singapore Airlines (SQ/SIA)","Airbus A350-900 (A359)",9V-SGF,39K,1,4,1,"Travelling to the US for the first time in 3 years. Taking the world's longest flight to and fro.",2672,1328,703,2110
2024-07-12,AS513,"Austin / Bergstrom International (AUS/KAUS)","San Francisco / San Francisco International (SFO/KSFO)",08:30:00,10:10:00,03:40:00,"Alaska Airlines (AS/ASA)","Boeing 737 MAX 9 (B39M)",N974AK,34E,2,1,1,"Solo trip to SFO",3777,2644,79,2124
2024-07-15,AS534,"San Francisco / San Francisco International (SFO/KSFO)","Austin / Bergstrom International (AUS/KAUS)",17:11:00,22:46:00,03:35:00,"Alaska Airlines (AS/ASA)","Boeing 737-800 (B738)",N570AS,7E,0,4,1,"End of solo trip to SFO, randomly allocated a really good seat",2644,3777,79,231
2024-09-01,AA2246,"Dallas-Ft Worth / Dallas-Ft Worth (DFW/KDFW)","New York / John F Kennedy (JFK/KJFK)",12:41:00,17:34:00,03:53:00,"American Airlines (AA/AAL)","Boeing 737-800 (B738)",N860NN,19F,1,1,1,"Heading back to JFK to catch SQ23",695,1328,4,231
